name,age,gender,attendance_rate,assignments_completed,midterm_score,final_exam_score,dropout
Cheyenne Howell,21,Female,0.7815526095095575,13,64,87,1
Patrick Mendoza,19,Male,0.5259234623383273,20,70,78,1
Mark Hudson,22,Female,0.5437190653864235,13,100,97,0
Sharon Klein,20,Male,0.7173180637750349,5,67,75,1
Jared Turner,23,Female,0.6728816762004053,2,75,44,0
Joy Dixon,20,Male,0.6490852459142245,8,40,87,1
Jane Young,24,Female,0.9365430209036626,4,94,99,0
Joseph Owens,23,Female,0.7044391677738225,20,70,95,0
Jonathan Bowman,19,Female,0.5781577025993305,10,65,52,1
Tony Jacobs,24,Female,0.9501652159883751,4,56,86,1
James Harvey,24,Male,0.6428705167555058,19,44,52,0
Noah Moreno,22,Female,0.9038856836914634,4,67,92,1
Jennifer Gates,21,Male,0.6646628379658908,17,63,73,1
Elizabeth Ferrell,24,Male,0.6462358372854802,7,46,55,1
Rachel Krause,22,Female,0.6078637324806575,8,84,45,1
Jimmy Rivera,23,Female,0.6591704605631208,15,54,73,0
Jonathan Frederick,19,Female,0.5366392676120508,3,57,90,1
Ruben Evans,19,Male,0.5494104111111329,18,98,93,1
Larry Andrews,23,Male,0.6287739075272323,7,84,47,1
James Robinson,20,Male,0.6563780591239767,11,64,51,1
Larry Smith,24,Male,0.9450835237545492,0,68,93,1
Kenneth Kirk,20,Male,0.6549820827393561,9,87,83,0
Mr. Robert Booker DDS,24,Female,0.5493304542193758,19,59,87,0
Shelly Mack,18,Male,0.8272229714326811,13,71,54,0
Theresa Black,20,Male,0.6955020015338943,14,77,93,1
Maurice Hunt,24,Female,0.9022146208134654,0,83,58,1
Julie Roth,25,Female,0.7002633085492169,19,65,63,0
Mrs. Taylor Garcia,23,Male,0.5205490453287054,14,54,50,1
Alicia Fitzgerald,25,Female,0.7722622798371281,17,79,64,1
Lisa Dominguez,19,Female,0.7089650758181434,15,70,93,0
Joseph Ochoa,25,Male,0.6923037982513249,10,57,75,1
Richard Bradley,24,Female,0.7836536036823281,10,69,50,1
Johnathan Anderson,21,Female,0.7275701112847058,17,53,100,1
Lindsey Melendez,23,Female,0.68290526801402,9,67,66,0
Ruben Bennett,24,Female,0.7553003069483815,16,72,99,0
Brian Henry,20,Female,0.6955689567110539,15,100,71,1
William Zavala,22,Female,0.9395890235057185,20,65,80,1
Natasha Parker,21,Male,0.8553526979870267,13,57,90,0
Katelyn Saunders,23,Female,0.7434892747259485,16,69,61,0
Jessica Weber MD,24,Female,0.9614394203960324,12,63,88,1
Christopher Smith,25,Male,0.7748680245387612,2,61,85,0
Michael Dunn,18,Female,0.6920345007222894,18,89,78,0
Gary White,18,Male,0.984934245985319,14,63,79,1
Robin Villa,21,Female,0.806402804178626,3,42,86,0
Charles Jackson,21,Female,0.7047115170788406,12,85,79,1
Charles Henderson,24,Male,0.527457422291153,2,64,50,0
Phillip Greene,25,Female,0.7122904925016471,15,45,82,1
Patricia Flores,18,Female,0.7895749486025339,9,75,71,0
Melissa Stevens,25,Female,0.7893767807251718,14,48,76,0
Vanessa Williams,20,Male,0.5873485253384026,8,52,71,1
Andrea Wagner,25,Female,0.7622326959614161,6,68,53,0
Robert Castillo,22,Male,0.946726311182216,3,62,63,0
Jamie Pratt,18,Male,0.6056879262918136,7,51,58,1
Amanda Cole,25,Female,0.8506994941510407,15,78,72,1
Darryl Becker,25,Male,0.9573442004046344,6,50,60,1
Andrea Mcdonald,25,Male,0.9995502241994341,3,42,71,0
Mark Schroeder,22,Female,0.9994141632570219,16,76,59,1
Adrian Yates,20,Female,0.6030037243325508,3,40,92,1
Larry Lewis,18,Female,0.7100864668108888,2,88,43,0
Rachel Lawson,25,Male,0.772198202232826,2,48,100,1
Jennifer Cox,18,Female,0.9640231435494884,2,70,83,1
Felicia Valdez,24,Female,0.7256162967704003,5,85,91,1
Scott Watts,19,Male,0.9613906362862995,18,89,88,0
Alexa Anderson,21,Female,0.9350862920796181,13,52,52,0
Bailey Cooper,19,Male,0.7577408246614219,1,58,80,1
Jeffrey Sims,25,Male,0.5642462032605466,12,46,76,0
Ariel Harrington,23,Female,0.7690656609760452,10,90,62,0
Laura Whitaker,18,Female,0.5120231528531438,17,86,48,0
William Lamb,21,Male,0.9429436883769303,7,99,74,1
Jacqueline Harris,21,Female,0.914333246917459,5,43,91,0
Jason Diaz,20,Female,0.7254385216415475,11,80,78,0
John Bowen,23,Male,0.615529642186682,5,93,94,0
Brandon Morris,19,Female,0.6933593279050828,8,47,57,1
Cynthia Walker,21,Female,0.9161190667642047,5,73,100,1
Mary Cole,23,Male,0.7181833967203317,19,78,47,1
Lisa Coleman,20,Female,0.7510809181968443,3,86,72,1
